strategy,sharpe,sharpe_se,adjusted_sharpe,iid_ci_lower,iid_ci_upper,iid_p_value,block_p_value,sign_p_value,verdict
large_cap_momentum,0.55697,0.200252,0.506838,0.160953,0.951647,0.0022,0.0015,0.0009,SIGNIFICANT ★★★
52_week_high_breakout,0.592673,0.20026,0.529389,0.194189,0.986431,0.0009,0.0008,0.0004,SIGNIFICANT ★★★
deep_value_all_cap,0.53137,0.200247,0.49651,0.133458,0.924244,0.0033,0.0037,0.0013,SIGNIFICANT ★★★
high_quality_roic,0.577382,0.200257,0.498384,0.178622,0.96876,0.0017,0.0013,0.0002,SIGNIFICANT ★★★
low_volatility_shield,0.65902,0.200277,0.554989,0.263015,1.05144,0.0006,0.0002,1.0,LIKELY SIGNIFICANT ★★
dividend_aristocrats,0.552152,0.200251,0.459438,0.156801,0.946825,0.0027,0.0009,0.0005,SIGNIFICANT ★★★
moving_average_trend,0.564026,0.200254,0.505113,0.166752,0.960428,0.0018,0.0015,0.0006,SIGNIFICANT ★★★
rsi_mean_reversion,0.641091,0.200272,0.571284,0.243967,1.039045,0.0004,0.0005,1.0,LIKELY SIGNIFICANT ★★
value_momentum_blend,0.553707,0.200252,0.501954,0.155465,0.949263,0.0026,0.0021,0.0009,SIGNIFICANT ★★★
quality_momentum,0.588241,0.200259,0.520781,0.189773,0.984152,0.0013,0.0012,0.0005,SIGNIFICANT ★★★
quality_low_vol,0.570434,0.200255,0.500641,0.172129,0.966829,0.0019,0.0014,0.0003,SIGNIFICANT ★★★
composite_factor_score,0.590773,0.20026,0.521017,0.191465,0.985552,0.0011,0.0011,0.0003,SIGNIFICANT ★★★
volatility_targeting,0.599279,0.200262,0.539934,0.201805,0.994598,0.0013,0.0009,0.0004,SIGNIFICANT ★★★
earnings_surprise_momentum,0.545592,0.20025,0.522463,0.149723,0.94092,0.003,0.0017,0.001,SIGNIFICANT ★★★
