strategy,base_sharpe,bear_sharpe,aggressive_sharpe,trend_sharpe,base_mdd,bear_mdd,delta_mdd_pp
large_cap_momentum,0.557,0.3977,0.2973,0.3458,-0.5609,-0.6052,-4.430000000000001
52_week_high_breakout,0.5927,0.4632,0.3526,0.401,-0.5546,-0.5998,-4.520000000000001
deep_value_all_cap,0.5314,0.4158,0.312,0.3174,-0.5538,-0.5983,-4.45000000000001
high_quality_roic,0.5774,0.4361,0.2994,0.3806,-0.5451,-0.5866,-4.149999999999999
low_volatility_shield,0.659,0.5575,0.4049,0.4852,-0.5209,-0.5754,-5.449999999999999
dividend_aristocrats,0.5522,0.4096,0.2457,0.3392,-0.5281,-0.5728,-4.469999999999996
moving_average_trend,0.564,0.4605,0.3534,0.4013,-0.5425,-0.5701,-2.760000000000007
rsi_mean_reversion,0.6411,0.5445,0.4446,0.4813,-0.5442,-0.5911,-4.689999999999994
value_momentum_blend,0.5537,0.4157,0.3074,0.353,-0.5574,-0.6026,-4.520000000000001
quality_momentum,0.5882,0.4542,0.3477,0.4113,-0.5587,-0.6049,-4.620000000000002
quality_low_vol,0.5704,0.4201,0.2934,0.3733,-0.5407,-0.5854,-4.470000000000008
composite_factor_score,0.5908,0.4536,0.3415,0.4087,-0.5549,-0.6039,-4.900000000000004
volatility_targeting,0.5993,0.4788,0.3788,0.3996,-0.5522,-0.5961,-4.3899999999999935
earnings_surprise_momentum,0.5456,0.4846,0.4189,0.3901,-0.4952,-0.5277,-3.2499999999999973
