strategy,observed_sharpe,adjusted_sharpe,ci_lower,ci_upper,ci_width,p_value_iid,p_value_block,p_value_sign,significant_iid,significant_block,significant_sign,n_significant,verdict,skewness,excess_kurtosis,t_statistic
large_cap_momentum,0.899987,0.806776,-0.087107,1.924768,2.011875,0.0374,0.022,0.0285,True,True,True,3,SIGNIFICANT,-0.427595,4.168347,1.517799
52_week_high_breakout,0.864632,0.766806,-0.141418,1.889813,2.031231,0.0434,0.0226,0.0386,True,True,True,3,SIGNIFICANT,-0.468441,4.465097,1.474636
deep_value_all_cap,0.729777,0.684769,-0.26137,1.744829,2.006198,0.0721,0.0723,0.0581,False,False,False,0,NOT SIGNIFICANT,-0.275264,4.270508,1.296399
high_quality_roic,0.820795,0.788358,-0.172843,1.829854,2.002697,0.0511,0.0323,0.0314,False,True,True,2,LIKELY SIGNIFICANT,-0.186822,3.497352,1.419082
low_volatility_shield,0.86345,0.783077,-0.130228,1.887768,2.017996,0.0443,0.0195,0.0313,True,True,True,3,SIGNIFICANT,-0.374996,4.259288,1.473168
dividend_aristocrats,0.518177,0.487407,-0.44177,1.475167,1.916937,0.1497,0.1343,0.0125,False,False,True,1,MARGINAL,0.948365,15.628414,0.972607
moving_average_trend,0.666278,0.604191,-0.33925,1.687712,2.026961,0.0932,0.0629,0.0627,False,False,False,0,NOT SIGNIFICANT,-0.348085,5.94814,1.204872
rsi_mean_reversion,0.760646,0.71855,-0.238119,1.791503,2.029622,0.0634,0.046,0.0635,False,True,False,1,MARGINAL,-0.357279,3.416844,1.339127
value_momentum_blend,0.81253,0.706254,-0.186626,1.845557,2.032183,0.0536,0.0351,0.0449,False,True,True,2,LIKELY SIGNIFICANT,-0.446009,5.559075,1.408352
quality_momentum,0.869344,0.792622,-0.119326,1.888052,2.007378,0.0432,0.0186,0.0309,True,True,True,3,SIGNIFICANT,-0.369218,4.103727,1.480473
quality_low_vol,0.810112,0.744229,-0.170249,1.809174,1.979423,0.0541,0.0246,0.0356,False,True,True,2,LIKELY SIGNIFICANT,-0.324119,4.373696,1.405198
composite_factor_score,0.864109,0.788125,-0.12164,1.871889,1.99353,0.0445,0.0177,0.0297,True,True,True,3,SIGNIFICANT,-0.343039,4.238429,1.473987
volatility_targeting,0.646945,0.600967,-0.333544,1.665204,1.998748,0.0956,0.0788,0.0455,False,False,True,1,MARGINAL,-0.59578,3.391664,1.176036
earnings_surprise_momentum,0.524208,0.506181,-0.448149,1.545329,1.993479,0.1432,0.1172,0.0868,False,False,False,0,NOT SIGNIFICANT,-0.437151,2.667717,0.982567
