strategy,sharpe,annual_return,max_drawdown,ann_volatility,total_return
large_cap_momentum,0.899987,0.363408,-0.451902,0.422178,2.451193
52_week_high_breakout,0.864632,0.459799,-0.748757,0.719852,3.534403
deep_value_all_cap,0.729777,0.202181,-0.399835,0.278136,1.087191
high_quality_roic,0.820795,0.156539,-0.186276,0.170599,0.788094
low_volatility_shield,0.86345,0.246075,-0.286285,0.275996,1.408781
dividend_aristocrats,0.518177,0.037071,-0.028709,0.032683,0.156566
moving_average_trend,0.666278,0.135265,-0.263066,0.186622,0.660239
rsi_mean_reversion,0.760646,-0.059479,-0.985776,1.544626,-0.217328
value_momentum_blend,0.81253,0.31482,-0.517535,0.423959,1.985335
quality_momentum,0.869344,0.245297,-0.283238,0.272197,1.402778
quality_low_vol,0.810112,0.170207,-0.182671,0.192237,0.874045
composite_factor_score,0.864109,0.228999,-0.256201,0.252592,1.279556
volatility_targeting,0.646945,0.08352,-0.133031,0.100988,0.377873
earnings_surprise_momentum,0.524208,0.082728,-0.237605,0.129516,0.373853
