strategy,overall_sharpe,best_regime,best_regime_sharpe,worst_regime,worst_regime_sharpe,regime_spread,bull_sharpe,bull_ann_return,bull_max_dd,bear_sharpe,bear_ann_return,bear_max_dd,high_vol_sharpe,high_vol_ann_return,high_vol_max_dd,sideways_sharpe,sideways_ann_return,sideways_max_dd
large_cap_momentum,0.9326743218535104,Bull,3.109527562545986,Bear,-0.7778163893730773,3.8873439519190636,3.109527562545986,1.1104534817198592,-0.15372860945539468,-0.7778163893730773,-0.5708452852184801,-0.45495222993288775,2.8451165015020026,1.1671350198780457,-0.10289160133468267,0.3354699893132263,0.1603449915570124,-0.4956520825589589
52_week_high_breakout,0.894877586164231,High-Vol,3.8364917616182357,Bear,-1.0516031260352103,4.8880948876534465,3.595519121502252,2.0454255308775404,-0.2046526136383584,-1.0516031260352103,-1.5554861351955236,-0.7331052733110934,3.8364917616182357,3.0462194188165332,-0.1720263455463279,0.11424051812634922,0.0955863511193788,-0.7738155436606735
deep_value_all_cap,0.758421309679959,Bull,3.143207170333751,Bear,-0.35403801492865056,3.4972451852624014,3.143207170333751,0.8191186205516968,-0.12716119079986288,-0.35403801492865056,-0.14352198934576874,-0.23934381455208797,2.2196153769779547,0.7373403476823505,-0.08275604471714904,-0.19964816776378208,-0.03344339494928359,-0.4493380302016168
high_quality_roic,0.8553879138122656,High-Vol,4.412526996839144,Bear,-0.8140523542208291,5.226579351059973,2.534261377843008,0.3957079007035006,-0.053296898320536634,-0.8140523542208291,-0.24441804252799743,-0.19424056939654744,4.412526996839144,0.8364455559448272,-0.04261606825909392,0.1892586472399941,0.05017020424764992,-0.2438155577212313
low_volatility_shield,0.8965538409167471,High-Vol,4.111627862032381,Bear,-1.0636892679256036,5.1753171299579845,3.420035096450258,0.7534344428411817,-0.06872104681545288,-1.0636892679256036,-0.5878360397272934,-0.33715013344186695,4.111627862032381,1.28730543192838,-0.07643713079624126,0.15322095962777693,0.05897948070526414,-0.38104392367404494
dividend_aristocrats,0.5748078729934992,Sideways,0.8655019069110668,Bear,0.0,0.8655019069110668,0.29589839998065154,0.02947293115909639,-0.01533945746218035,0.0,0.0,0.0,0.0,0.0,0.0,0.8655019069110668,0.05298640936489169,-0.028708589896218828
moving_average_trend,0.695108659056498,High-Vol,3.9740484136448266,Bear,-0.8927884458912072,4.866836859536034,3.3603331815632878,0.4599385432671137,-0.05961614127733428,-0.8927884458912072,-0.3809396760363748,-0.282464414479216,3.9740484136448266,1.010027935614071,-0.05397440938168807,-0.18844809157118586,-0.008528093016224056,-0.2729658671610309
rsi_mean_reversion,0.756045521909446,Bull,3.224350045102041,Bear,-0.7459190860053188,3.9702691311073597,3.224350045102041,4.283690937959525,-0.585754488870069,-0.7459190860053188,-2.165829220644301,-0.9465908186525003,2.4872089776781823,4.56946717759931,-0.4309298333894238,-0.08552308069130664,-0.10265299864262968,-0.9881419985634029
value_momentum_blend,0.842307776222818,High-Vol,3.520420609171364,Bear,-0.816277683892294,4.336698293063658,3.392447735719309,1.1742462953722297,-0.1452845206528247,-0.816277683892294,-0.6979986404372543,-0.5022877891650275,3.520420609171364,1.7316750160830363,-0.10931188286584481,0.011586793226505044,0.024458557944472232,-0.5641150919378288
quality_momentum,0.9027083470669475,High-Vol,3.9596290365718585,Bear,-0.8570532102746411,4.8166822468465,3.269725305856419,0.738127671249039,-0.07507585907782777,-0.8570532102746411,-0.44535880855434096,-0.324941441052919,3.9596290365718585,1.1579513970608823,-0.07499930922461506,0.15088791944170182,0.05857637305989353,-0.36509966758742407
quality_low_vol,0.8434956835473463,High-Vol,4.313633997152639,Bear,-0.9802131034255073,5.293847100578146,3.032112149446878,0.49512155460633217,-0.06250857754449946,-0.9802131034255073,-0.3646815056267182,-0.23720775134154093,4.313633997152639,0.9554271723224089,-0.05404398285693457,0.08812335512519527,0.03547494989034966,-0.2668844024147332
composite_factor_score,0.8976697799862842,High-Vol,3.9754703513743297,Bear,-0.8173918979486954,4.792862249323025,3.1976266435259633,0.679853165197696,-0.0703921738839165,-0.8173918979486954,-0.39191017950163415,-0.29955492958545604,3.9754703513743297,1.095267550170177,-0.07242238480934626,0.13611410374107344,0.05209399957032108,-0.3458122489124875
volatility_targeting,0.6810231409062014,Bull,3.4191273475085677,Bear,-1.5099898974820058,4.929117244990573,3.4191273475085677,0.31433436176678314,-0.026861702754041872,-1.5099898974820058,-0.2157792590813551,-0.09733872504272312,3.238129564079909,0.22159685082307146,-0.01591137342769877,-0.06334197939293153,0.01323594172664078,-0.17106890748511283
earnings_surprise_momentum,0.4190475564172372,Bull,2.985509078659625,Bear,-1.5502054782079966,4.535714556867622,2.985509078659625,0.3260991281426806,-0.03942637705214147,-1.5502054782079966,-0.34872442204589377,-0.1680933053709125,1.2641254556285104,0.16667587862618527,-0.04112113237284065,-0.13024824842013621,0.0035428653720041663,-0.23912859885005533
