strategy,resilience,sharpe_gross,sharpe_net_15bps,sharpe_per_10bps,breakeven_cost_bps,annual_turnover,cost_drag_pct,return_gross,return_net_15bps
large_cap_momentum,BULLETPROOF,0.90307,0.899987,-0.002059,,0.880296,0.004898,0.365197,0.363408
52_week_high_breakout,BULLETPROOF,0.867825,0.864632,-0.002132,,1.543461,0.007258,0.463161,0.459799
deep_value_all_cap,BULLETPROOF,0.732603,0.729777,-0.001889,,0.527176,0.004668,0.203129,0.202181
high_quality_roic,BULLETPROOF,0.825681,0.820795,-0.003273,,0.556107,0.006124,0.157503,0.156539
low_volatility_shield,BULLETPROOF,0.867711,0.86345,-0.002846,,0.787118,0.005935,0.247544,0.246075
dividend_aristocrats,BULLETPROOF,0.526392,0.518177,-0.005584,,0.174367,0.007276,0.037342,0.037071
moving_average_trend,BULLETPROOF,0.672977,0.666278,-0.004479,,0.838523,0.010434,0.136691,0.135265
rsi_mean_reversion,BULLETPROOF,0.766775,0.760646,-0.004087,,6.313135,0.17726,-0.050523,-0.059479
value_momentum_blend,BULLETPROOF,0.814845,0.81253,-0.001546,,0.658701,0.004096,0.316115,0.31482
quality_momentum,BULLETPROOF,0.872269,0.869344,-0.001955,,0.539325,0.004069,0.246299,0.245297
quality_low_vol,BULLETPROOF,0.813018,0.810112,-0.001944,,0.377363,0.003864,0.170867,0.170207
composite_factor_score,BULLETPROOF,0.867066,0.864109,-0.001977,,0.505946,0.004037,0.229927,0.228999
volatility_targeting,BULLETPROOF,0.663257,0.646945,-0.010877,,1.086898,0.020756,0.08529,0.08352
earnings_surprise_momentum,BULLETPROOF,0.596185,0.524208,-0.048049,,6.224772,0.109287,0.092878,0.082728
