strategy,is_sharpe,oos_sharpe,degradation_pct,oos_verdict,wf_avg_oos_sharpe,wfe_pct,wf_consistency_pct,wf_verdict,combined_verdict
large_cap_momentum,0.2,1.803,-802.5,EXCELLENT,0.799,183.4,100.0,EXCELLENT,EXCELLENT
52_week_high_breakout,0.336,2.419,-619.9,EXCELLENT,1.202,182.9,100.0,EXCELLENT,EXCELLENT
deep_value_all_cap,0.144,1.698,-1082.3,EXCELLENT,0.676,204.6,66.7,EXCELLENT,EXCELLENT
high_quality_roic,0.173,2.621,-1419.3,EXCELLENT,0.894,477.1,66.7,EXCELLENT,EXCELLENT
low_volatility_shield,0.426,2.494,-485.2,EXCELLENT,1.119,162.2,66.7,EXCELLENT,EXCELLENT
dividend_aristocrats,0.0,0.0,,UNKNOWN,0.0,,0.0,UNKNOWN,UNKNOWN
moving_average_trend,0.33,2.325,-605.0,EXCELLENT,1.138,169.6,100.0,EXCELLENT,EXCELLENT
rsi_mean_reversion,0.355,1.488,-319.9,EXCELLENT,0.813,122.6,83.3,EXCELLENT,EXCELLENT
value_momentum_blend,0.271,2.151,-692.8,EXCELLENT,1.026,211.2,100.0,EXCELLENT,EXCELLENT
quality_momentum,0.263,2.326,-785.5,EXCELLENT,0.985,262.6,66.7,EXCELLENT,EXCELLENT
quality_low_vol,0.267,2.5,-834.7,EXCELLENT,1.045,310.9,66.7,EXCELLENT,EXCELLENT
composite_factor_score,0.272,2.365,-770.1,EXCELLENT,1.034,266.9,66.7,EXCELLENT,EXCELLENT
volatility_targeting,0.071,2.136,-2922.4,EXCELLENT,0.742,252.4,66.7,EXCELLENT,EXCELLENT
earnings_surprise_momentum,0.234,1.642,-600.2,EXCELLENT,0.763,174.9,83.3,EXCELLENT,EXCELLENT
